stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.225189,1,52251,-122.921643,2273,https://translink.ca/schedules-and-maps/stop/52251/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52251,,,Northbound 1st St @ 12 Ave,0,BUS ZN
49.282089,1,53168,-122.793409,3202,https://translink.ca/schedules-and-maps/stop/53168/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=53168,,,Southbound Pinetree Way @ Glen Dr,0,BUS ZN
49.204333,2,,-122.875397,SRSWN,,99949,,Scott Road Station West Concourse North Entrance,2,
49.231484,1,52256,-122.917431,2278,https://translink.ca/schedules-and-maps/stop/52256/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52256,,,Southbound Cumberland St @ 16 Ave,0,BUS ZN
49.306096,1,59111,-123.034951,11595,https://translink.ca/schedules-and-maps/stop/59111/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=59111,,,Westbound Main St @ Harbour Ave,0,BUS ZN
49.306304,1,54332,-123.036502,11594,https://translink.ca/schedules-and-maps/stop/54332/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54332,,,Eastbound Main St @ Lynn Ave,0,BUS ZN
49.30749,1,53958,-123.04116,11597,https://translink.ca/schedules-and-maps/stop/53958/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=53958,,,Westbound Cotton Rd @ Brooksbank Ave,0,BUS ZN
49.162744,1,61205,-122.767094,11591,https://translink.ca/schedules-and-maps/stop/61205/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61205,,,Eastbound 88 Ave @ 164 St,0,BUS ZN
49.204238,2,,-122.875369,SRSWS,,99949,,Scott Road Station West Concourse South Entrance,2,
49.123019,1,60771,-122.70188,11593,https://translink.ca/schedules-and-maps/stop/60771/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=60771,,,Southbound 188 St @ Fraser Hwy,0,BUS ZN
49.162727,1,61202,-122.789547,11592,https://translink.ca/schedules-and-maps/stop/61202/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61202,,,Eastbound 88 Ave @ 156 St,0,BUS ZN
49.307195,1,53955,-123.040888,11598,https://translink.ca/schedules-and-maps/stop/53955/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=53955,,,Eastbound Cotton Rd @ Brooksbank Ave,0,BUS ZN
49.226538,1,52036,-123.125587,2053,https://translink.ca/schedules-and-maps/stop/52036/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52036,,,Westbound W 49 Ave @ Laurel St,0,BUS ZN
49.226392,1,52035,-123.121435,2052,https://translink.ca/schedules-and-maps/stop/52035/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52035,,,Westbound W 49 Ave @ Tisdall St,0,BUS ZN
49.226774,1,52038,-123.132581,2055,https://translink.ca/schedules-and-maps/stop/52038/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52038,,,Westbound W 49 Ave @ Montgomery St,0,BUS ZN
49.226658,1,52037,-123.128988,2054,https://translink.ca/schedules-and-maps/stop/52037/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52037,,,Westbound W 49 Ave @ Oak St,0,BUS ZN
49.226981,1,52040,-123.138278,2057,https://translink.ca/schedules-and-maps/stop/52040/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52040,,,Westbound W 49 Ave @ Cartier St,0,BUS ZN
49.22688,1,52039,-123.135533,2056,https://translink.ca/schedules-and-maps/stop/52039/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=52039,,,Westbound W 49 Ave @ Hudson St,0,BUS ZN
49.339449,1,54482,-123.112906,4534,https://translink.ca/schedules-and-maps/stop/54482/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54482,,,Eastbound Ridgewood Dr @ Norcross Way,0,BUS ZN
49.33855,1,54775,-123.13509,4827,https://translink.ca/schedules-and-maps/stop/54775/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54775,,,Southbound Taylor Way @ Hwy One Overpass,0,BUS ZN
49.344462,2,54772,-123.125756,4824,https://translink.ca/schedules-and-maps/stop/54772/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54772,,,Southbound Stevens Dr @ Bury Lane,0,BUS ZN
49.338241,1,54485,-123.100533,4537,https://translink.ca/schedules-and-maps/stop/54485/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54485,,,Northbound Highland Blvd @ Woodbine Dr,0,BUS ZN
49.348049,2,54770,-123.121627,4822,https://translink.ca/schedules-and-maps/stop/54770/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54770,,,Southbound Stevens Dr @ 300 Block,0,BUS ZN
49.345591,2,54771,-123.124069,4823,https://translink.ca/schedules-and-maps/stop/54771/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54771,,,Southbound Stevens Dr @ Bury Lane,0,BUS ZN
49.353278,1,54768,-123.120319,4820,https://translink.ca/schedules-and-maps/stop/54768/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54768,,,Southbound Stevens Dr @ Normanby Cres,0,BUS ZN
49.350505,2,54769,-123.12074,4821,https://translink.ca/schedules-and-maps/stop/54769/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=54769,,,Southbound Stevens Dr @ Onslow Place,0,BUS ZN
49.119726,2,60754,-122.701633,10628,https://translink.ca/schedules-and-maps/stop/60754/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=60754,,,Northbound 188 St @ 64 Ave,0,BUS ZN
49.184071,2,57906,-122.497702,7981,https://translink.ca/schedules-and-maps/stop/57906/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57906,,,(Westbound 100 Ave In 26100-Block Area) (Flag),0,BUS ZN
49.184055,2,57907,-122.505702,7982,https://translink.ca/schedules-and-maps/stop/57907/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57907,,,(Westbound 100 Ave In 25800-Block Area) (Flag),0,BUS ZN
49.184056,2,57908,-122.513417,7983,https://translink.ca/schedules-and-maps/stop/57908/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57908,,,(Westbound 100 Ave In 25500-Block Area) (Flag),0,BUS ZN
49.161565,1,61570,-122.918523,11627,https://translink.ca/schedules-and-maps/stop/61570/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61570,,,Westbound Nordel Way @ Shepherd Way,0,BUS ZN
49.184105,2,57910,-122.531813,7985,https://translink.ca/schedules-and-maps/stop/57910/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57910,,,(Westbound 100 Ave In 24900-Block Area) (Flag),0,BUS ZN
49.185626,1,57911,-122.53962,7986,https://translink.ca/schedules-and-maps/stop/57911/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=57911,,,Northbound Jackson Rd @ 10100 Block,0,BUS ZN
49.101961,2,58917,-122.64694,9404,https://translink.ca/schedules-and-maps/stop/58917/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=58917,,,Southbound 208 St @ Fraser Hwy,0,BUS ZN
49.26236,1,58614,-123.088379,10620,https://translink.ca/schedules-and-maps/stop/58614/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=58614,,,Eastbound E Broadway  @ Fraser St,0,BUS ZN
49.326627,1,58625,-123.072103,10621,https://translink.ca/schedules-and-maps/stop/58625/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=58625,,,Northbound Lonsdale Ave @ E 19 St,0,BUS ZN
